"","distance","type","Hylak_id","geometry"
"13375",180,"dp",1063970,c(-99.6173386681222, 32.5430099891639)
"13376",180,"dp",1064843,c(-99.6509156990546, 31.5598629297991)
"13377",180,"dp",1066341,c(-97.9267106356176, 29.8205593501952)
"13378",180,"dp",1068208,c(-99.7034216139589, 28.3863697601733)
"13382",180,"dp",1069140,c(-97.9690052091096, 26.5305587882449)
"13383",180,"dp",1069285,c(-98.2932888741204, 26.1869047882579)
"13384",180,"dp",1069063,c(-98.0577591564774, 26.7597699596952)
"13385",180,"dp",1068937,c(-97.4783301882894, 27.1555240963906)
"13386",180,"dp",1069256,c(-97.3782635015491, 26.2734782352106)
"13387",180,"dp",114585,c(-97.3886755025089, 26.3245081876662)
"13388",180,"dp",1069055,c(-97.7560519201002, 26.7880495785761)
"13389",180,"dp",1069288,c(-97.625716855409, 26.1782853459216)
"13390",180,"dp",1069379,c(-97.3379532280259, 25.9596779167764)
"13411",180,"dp",1064577,c(-102.351900225552, 31.934213381438)
"13412",180,"dp",1062251,c(-101.712326902355, 33.8390031193374)
"13413",180,"dp",1060542,c(-101.347353940232, 35.269665560426)
"13414",180,"dp",1061814,c(-101.943513455572, 34.2179821178698)
"13499",180,"dp",1060180,c(-100.036672531188, 35.7018460936271)
"13829",180,"dp",1062583,c(-85.0605363926323, 33.5657583249844)
"13900",180,"dp",1065122,c(-81.5174461730905, 31.1433561368009)
"13919",180,"dp",1065221,c(-83.6557367376536, 30.9701022244703)
"13920",180,"dp",1064963,c(-83.6209914222452, 31.3850349547966)
"13921",180,"dp",1065502,c(-83.2441572513195, 30.6369494074642)
"13922",180,"dp",1064006,c(-83.1855914180836, 32.503885836521)
"13923",180,"dp",1063555,c(-83.4533292226356, 32.8503579883737)
"13924",180,"dp",1063558,c(-84.8497992768464, 32.8440305239789)
"13925",180,"dp",1063399,c(-84.6166953101765, 32.9680336651741)
"13926",180,"dp",1062819,c(-84.6097837035437, 33.4007136176932)
"13927",180,"dp",1062350,c(-84.8907605791234, 33.7431413648904)
"13928",180,"dp",1062374,c(-84.1017761569288, 33.7228078640867)
"13929",180,"dp",1062191,c(-84.035295419323, 33.8956604573225)
"13930",180,"dp",1062415,c(-83.7306362580484, 33.6909297506556)
"13931",180,"dp",1061898,c(-83.7357017968451, 34.133821044587)
"13932",180,"dp",1063106,c(-82.2370915739041, 33.185695764896)
"13933",180,"dp",1062844,c(-82.4146574369533, 33.3815885332749)
"13934",180,"dp",1062643,c(-82.4620799766567, 33.5171273688955)
"13936",180,"dp",1063939,c(-81.9715521061713, 32.5629644663781)
"13937",180,"dp",1064752,c(-81.8099721203987, 31.6761473670709)
"13938",180,"dp",1064773,c(-81.3848191304579, 31.6516133930748)
"14265",360,"dp",114064,c(-94.2682322581159, 29.7118999757248)
"14266",360,"dp",1066297,c(-95.0962694873365, 29.8507786780344)
"14267",360,"dp",1067124,c(-95.709529655217, 29.3928557544518)
"14268",360,"dp",1062762,c(-96.9556477401077, 33.4363864261207)
"14269",360,"dp",113346,c(-97.8837828697761, 33.4814946923774)
"14270",360,"dp",113702,c(-99.8694384052798, 31.9431583381512)
"14590",330,"dp",113731,c(-94.3607853595812, 31.7077267207314)
"14591",330,"dp",1065732,c(-94.8924484372846, 30.3659475409411)
"14592",330,"dp",1067683,c(-95.2370433075938, 29.0392133681051)
"14593",330,"dp",113807,c(-96.2944433177006, 31.0588918446466)
"14594",330,"dp",1063152,c(-96.1036428427247, 33.1624683075086)
"14595",330,"dp",113586,c(-96.667835062613, 32.6449093664372)
"14596",330,"dp",1068572,c(-97.5696213641566, 27.8700147763863)
"14597",330,"dp",114543,c(-97.5408601623619, 27.2125158669547)
"14604",330,"dp",1064487,c(-102.941393384818, 32.0330761108939)
"14605",330,"dp",1060640,c(-102.176831459093, 35.1970312633664)
"14618",330,"dp",113134,c(-100.376629936402, 34.4725655743142)
"14680",330,"dp",1065350,c(-84.7559351996714, 30.8131151127827)
"14681",330,"dp",1065263,c(-83.0355827995446, 30.8980163968403)
"14682",330,"dp",1065406,c(-83.2462218151073, 30.7530064305823)
"14683",330,"dp",1063526,c(-83.3275736547264, 32.870071674131)
"14684",330,"dp",1062333,c(-84.6352184159525, 33.7574461610699)
"14685",330,"dp",113175,c(-83.4973896001447, 34.2692662390855)
"14718",660,"dp",114114,c(-95.0651271255793, 29.5584132583641)
"14719",660,"dp",113455,c(-101.941948311102, 33.2052132502069)
"14749",630,"dp",113882,c(-94.0525366219586, 30.3445527740866)
"22455",150,"dp",1062976,c(-94.3386771365582, 33.2847546947983)
"22459",150,"dp",1062344,c(-94.7736000169071, 33.7454467201351)
"22461",150,"dp",1062430,c(-95.0486819608942, 33.6703108673845)
"22462",150,"dp",1062645,c(-95.0502916963745, 33.5196066290812)
"22463",150,"dp",1062945,c(-94.6322955636245, 33.309926320245)
"22464",150,"dp",1063357,c(-94.699257884144, 33.006814467036)
"22465",150,"dp",1064093,c(-94.6807392374691, 32.4323663147247)
"22466",150,"dp",1064274,c(-94.4759817761959, 32.2804179872275)
"22468",150,"dp",1064893,c(-94.7549609745037, 31.508877568354)
"22469",150,"dp",1065280,c(-94.4043552359744, 30.8923355020982)
"22470",150,"dp",1065566,c(-94.4487634233657, 30.5675880905779)
"22471",150,"dp",1065466,c(-94.403989589688, 30.6730993397045)
"22472",150,"dp",1065874,c(-94.1286178041325, 30.1471171567432)
"22473",150,"dp",1065289,c(-94.1986970362884, 30.8857449507413)
"22504",150,"dp",1066342,c(-94.0470207139555, 29.8221200355639)
"22505",150,"dp",1066512,c(-94.0774942105547, 29.7398496211278)
"22506",150,"dp",1066254,c(-94.0953306147685, 29.868022021808)
"22507",150,"dp",1066255,c(-94.0850836005477, 29.8683787498923)
"22508",150,"dp",1066510,c(-94.3238461664544, 29.7432965062421)
"22509",150,"dp",1066636,c(-94.3641787354829, 29.6749384870928)
"22510",150,"dp",1066611,c(-94.1249568821676, 29.6842267945871)
"22511",150,"dp",1066566,c(-94.0920487163932, 29.7085957818442)
"22512",150,"dp",1066006,c(-94.530801964547, 30.0312474158694)
"22513",150,"dp",1066286,c(-94.6947764875853, 29.8497753802973)
"22514",150,"dp",1066424,c(-94.7157075079302, 29.7845431909865)
"22515",150,"dp",1066301,c(-94.7965019599176, 29.8430198422014)
"22516",150,"dp",1065970,c(-94.8569673702023, 30.0562808091835)
"22517",150,"dp",1066063,c(-95.0060172820148, 29.995088565427)
"22518",150,"dp",1066824,c(-95.0233988579211, 29.5771905329002)
